date,store_id,state_id,cat_id,total_sales,weekday,month,year,event_name_1,event_type_1,event_name_2,event_type_2
2013-09-20,CA_1,CA,HOUSEHOLD,905,Friday,9,2013,,,,
2014-11-23,CA_1,CA,HOUSEHOLD,1147,Sunday,11,2014,,,,
2015-03-04,CA_1,CA,HOUSEHOLD,743,Wednesday,3,2015,,,,
2015-07-23,CA_1,CA,HOUSEHOLD,976,Thursday,7,2015,,,,
2011-04-25,CA_1,CA,FOODS,1518,Monday,4,2011,,,,
2011-06-09,CA_1,CA,FOODS,2039,Thursday,6,2011,,,,
2011-09-15,CA_1,CA,FOODS,1628,Thursday,9,2011,,,,
2012-11-23,CA_1,CA,FOODS,1725,Friday,11,2012,,,,
2013-05-01,CA_1,CA,FOODS,2351,Wednesday,5,2013,,,,
2013-06-04,CA_1,CA,FOODS,2694,Tuesday,6,2013,,,,
2013-07-29,CA_1,CA,FOODS,2743,Monday,7,2013,,,,
2013-10-22,CA_1,CA,FOODS,2359,Tuesday,10,2013,,,,
2014-01-11,CA_1,CA,FOODS,4024,Saturday,1,2014,,,,
2014-04-09,CA_1,CA,FOODS,2843,Wednesday,4,2014,,,,
2014-04-26,CA_1,CA,FOODS,3741,Saturday,4,2014,,,,
2015-04-04,CA_1,CA,FOODS,4688,Saturday,4,2015,,,,
2015-04-13,CA_1,CA,FOODS,2829,Monday,4,2015,,,,
2015-07-18,CA_1,CA,FOODS,3190,Saturday,7,2015,Eid al-Fitr,Religious,,
2015-09-14,CA_1,CA,FOODS,2714,Monday,9,2015,,,,
2011-02-02,CA_2,CA,HOBBIES,296,Wednesday,2,2011,,,,
2011-05-08,CA_2,CA,HOBBIES,460,Sunday,5,2011,Mother's day,Cultural,,
2011-10-25,CA_2,CA,HOBBIES,228,Tuesday,10,2011,,,,
2011-12-21,CA_2,CA,HOBBIES,459,Wednesday,12,2011,,,,
2012-08-22,CA_2,CA,HOBBIES,195,Wednesday,8,2012,,,,
2013-03-20,CA_2,CA,HOBBIES,322,Wednesday,3,2013,,,,
2013-07-26,CA_2,CA,HOBBIES,326,Friday,7,2013,,,,
2013-12-08,CA_2,CA,HOBBIES,435,Sunday,12,2013,,,,
2014-05-03,CA_2,CA,HOBBIES,407,Saturday,5,2014,,,,
2015-03-03,CA_2,CA,HOBBIES,258,Tuesday,3,2015,,,,
2015-04-02,CA_2,CA,HOBBIES,268,Thursday,4,2015,,,,
2015-05-28,CA_2,CA,HOBBIES,294,Thursday,5,2015,,,,
2015-06-19,CA_2,CA,HOBBIES,306,Friday,6,2015,,,,
2016-02-20,CA_2,CA,HOBBIES,613,Saturday,2,2016,,,,
2011-01-31,CA_2,CA,HOUSEHOLD,464,Monday,1,2011,,,,
2011-04-29,CA_2,CA,HOUSEHOLD,586,Friday,4,2011,,,,
2011-05-21,CA_2,CA,HOUSEHOLD,828,Saturday,5,2011,,,,
2012-03-10,CA_2,CA,HOUSEHOLD,1181,Saturday,3,2012,,,,
2012-04-20,CA_2,CA,HOUSEHOLD,644,Friday,4,2012,,,,
2012-05-01,CA_2,CA,HOUSEHOLD,670,Tuesday,5,2012,,,,
2012-05-21,CA_2,CA,HOUSEHOLD,527,Monday,5,2012,,,,
2012-11-22,CA_2,CA,HOUSEHOLD,323,Thursday,11,2012,Thanksgiving,National,,
2013-09-05,CA_2,CA,HOUSEHOLD,732,Thursday,9,2013,,,,
2013-10-14,CA_2,CA,HOUSEHOLD,795,Monday,10,2013,ColumbusDay,National,,
2014-04-15,CA_2,CA,HOUSEHOLD,666,Tuesday,4,2014,,,,
2015-04-28,CA_2,CA,HOUSEHOLD,621,Tuesday,4,2015,,,,
2015-06-05,CA_2,CA,HOUSEHOLD,917,Friday,6,2015,,,,
2015-07-03,CA_2,CA,HOUSEHOLD,1334,Friday,7,2015,,,,
2015-07-19,CA_2,CA,HOUSEHOLD,1410,Sunday,7,2015,,,,
2015-08-14,CA_2,CA,HOUSEHOLD,981,Friday,8,2015,,,,
2015-08-23,CA_2,CA,HOUSEHOLD,1673,Sunday,8,2015,,,,
2015-12-03,CA_2,CA,HOUSEHOLD,971,Thursday,12,2015,,,,
2015-12-10,CA_2,CA,HOUSEHOLD,733,Thursday,12,2015,,,,
2016-04-03,CA_2,CA,HOUSEHOLD,1881,Sunday,4,2016,,,,
2011-04-22,CA_1,CA,HOBBIES,339,Friday,4,2011,,,,
2012-02-02,CA_1,CA,HOBBIES,436,Thursday,2,2012,,,,
2012-08-18,CA_1,CA,HOBBIES,473,Saturday,8,2012,,,,
2012-08-21,CA_1,CA,HOBBIES,239,Tuesday,8,2012,,,,
2012-10-13,CA_1,CA,HOBBIES,366,Saturday,10,2012,,,,
2012-11-25,CA_1,CA,HOBBIES,317,Sunday,11,2012,,,,
2012-12-06,CA_1,CA,HOBBIES,281,Thursday,12,2012,,,,
2013-06-21,CA_1,CA,HOBBIES,629,Friday,6,2013,,,,
2014-07-20,CA_1,CA,HOBBIES,568,Sunday,7,2014,,,,
2014-10-09,CA_1,CA,HOBBIES,424,Thursday,10,2014,,,,
2014-10-16,CA_1,CA,HOBBIES,316,Thursday,10,2014,,,,
2015-08-26,CA_1,CA,HOBBIES,577,Wednesday,8,2015,,,,
2016-02-28,CA_1,CA,HOBBIES,740,Sunday,2,2016,,,,
2011-05-05,CA_1,CA,HOUSEHOLD,339,Thursday,5,2011,Cinco De Mayo,Cultural,,
2011-11-01,CA_1,CA,HOUSEHOLD,410,Tuesday,11,2011,,,,
2012-02-05,CA_1,CA,HOUSEHOLD,558,Sunday,2,2012,SuperBowl,Sporting,,
2012-05-11,CA_1,CA,HOUSEHOLD,490,Friday,5,2012,,,,
2012-08-07,CA_1,CA,HOUSEHOLD,615,Tuesday,8,2012,,,,
2013-06-24,CA_1,CA,HOUSEHOLD,827,Monday,6,2013,,,,
2013-08-28,CA_1,CA,HOUSEHOLD,670,Wednesday,8,2013,,,,
2014-08-14,CA_1,CA,HOUSEHOLD,718,Thursday,8,2014,,,,
2015-03-01,CA_1,CA,HOUSEHOLD,1262,Sunday,3,2015,,,,
2015-03-29,CA_1,CA,HOUSEHOLD,1069,Sunday,3,2015,,,,
2015-05-14,CA_1,CA,HOUSEHOLD,707,Thursday,5,2015,,,,
2015-05-16,CA_1,CA,HOUSEHOLD,1288,Saturday,5,2015,,,,
2015-07-09,CA_1,CA,HOUSEHOLD,890,Thursday,7,2015,,,,
2015-08-19,CA_1,CA,HOUSEHOLD,830,Wednesday,8,2015,,,,
2015-11-17,CA_1,CA,HOUSEHOLD,862,Tuesday,11,2015,,,,
2016-01-04,CA_1,CA,HOUSEHOLD,996,Monday,1,2016,,,,
2016-01-16,CA_1,CA,HOUSEHOLD,1304,Saturday,1,2016,,,,
2011-06-26,CA_1,CA,FOODS,2491,Sunday,6,2011,,,,
2012-01-05,CA_1,CA,FOODS,2613,Thursday,1,2012,,,,
2012-01-11,CA_1,CA,FOODS,2164,Wednesday,1,2012,,,,
2012-01-29,CA_1,CA,FOODS,3135,Sunday,1,2012,,,,
2012-02-22,CA_1,CA,FOODS,2006,Wednesday,2,2012,LentStart,Religious,,
2012-04-10,CA_1,CA,FOODS,2903,Tuesday,4,2012,,,,
2012-09-17,CA_1,CA,FOODS,2487,Monday,9,2012,,,,
2013-01-10,CA_1,CA,FOODS,2543,Thursday,1,2013,,,,
2013-05-20,CA_1,CA,FOODS,2657,Monday,5,2013,,,,
2013-07-04,CA_1,CA,FOODS,3504,Thursday,7,2013,IndependenceDay,National,,
2013-08-09,CA_1,CA,FOODS,3514,Friday,8,2013,,,,
2014-03-21,CA_1,CA,FOODS,2795,Friday,3,2014,,,,
2014-06-03,CA_1,CA,FOODS,2637,Tuesday,6,2014,,,,
2014-06-06,CA_1,CA,FOODS,2956,Friday,6,2014,,,,
2014-06-27,CA_1,CA,FOODS,2783,Friday,6,2014,,,,
2014-11-06,CA_1,CA,FOODS,2706,Thursday,11,2014,,,,
2014-11-13,CA_1,CA,FOODS,2290,Thursday,11,2014,,,,
2015-03-19,CA_1,CA,FOODS,2072,Thursday,3,2015,,,,
2015-07-22,CA_1,CA,FOODS,2607,Wednesday,7,2015,,,,
2015-12-14,CA_1,CA,FOODS,2476,Monday,12,2015,Chanukah End,Religious,,
2016-02-28,CA_1,CA,FOODS,3979,Sunday,2,2016,,,,
2011-03-01,CA_2,CA,HOBBIES,232,Tuesday,3,2011,,,,
2011-08-26,CA_2,CA,HOBBIES,285,Friday,8,2011,,,,
2011-08-31,CA_2,CA,HOBBIES,278,Wednesday,8,2011,Eid al-Fitr,Religious,,
2011-12-04,CA_2,CA,HOBBIES,351,Sunday,12,2011,,,,
2012-02-02,CA_2,CA,HOBBIES,254,Thursday,2,2012,,,,
2012-03-31,CA_2,CA,HOBBIES,404,Saturday,3,2012,,,,
2013-01-05,CA_2,CA,HOBBIES,299,Saturday,1,2013,,,,
2013-02-03,CA_2,CA,HOBBIES,257,Sunday,2,2013,SuperBowl,Sporting,,
2013-03-17,CA_2,CA,HOBBIES,425,Sunday,3,2013,StPatricksDay,Cultural,,
2013-07-23,CA_2,CA,HOBBIES,308,Tuesday,7,2013,,,,
2013-12-30,CA_2,CA,HOBBIES,436,Monday,12,2013,,,,
2014-01-23,CA_2,CA,HOBBIES,306,Thursday,1,2014,,,,
2014-07-06,CA_2,CA,HOBBIES,387,Sunday,7,2014,,,,
2014-11-08,CA_2,CA,HOBBIES,427,Saturday,11,2014,,,,
2015-02-03,CA_2,CA,HOBBIES,219,Tuesday,2,2015,,,,
2015-12-30,CA_2,CA,HOBBIES,391,Wednesday,12,2015,,,,
2016-03-26,CA_2,CA,HOBBIES,464,Saturday,3,2016,,,,
2011-03-11,CA_2,CA,HOUSEHOLD,642,Friday,3,2011,,,,
2011-05-01,CA_2,CA,HOUSEHOLD,774,Sunday,5,2011,,,,
2011-05-27,CA_2,CA,HOUSEHOLD,579,Friday,5,2011,,,,
2011-06-07,CA_2,CA,HOUSEHOLD,498,Tuesday,6,2011,,,,
2011-08-06,CA_2,CA,HOUSEHOLD,939,Saturday,8,2011,,,,
2011-10-12,CA_2,CA,HOUSEHOLD,575,Wednesday,10,2011,,,,
2011-10-18,CA_2,CA,HOUSEHOLD,487,Tuesday,10,2011,,,,
2012-04-04,CA_2,CA,HOUSEHOLD,572,Wednesday,4,2012,,,,
2012-06-08,CA_2,CA,HOUSEHOLD,726,Friday,6,2012,,,,
2013-01-15,CA_2,CA,HOUSEHOLD,619,Tuesday,1,2013,,,,
2013-02-09,CA_2,CA,HOUSEHOLD,1162,Saturday,2,2013,,,,
2013-10-11,CA_2,CA,HOUSEHOLD,874,Friday,10,2013,,,,
2014-02-13,CA_2,CA,HOUSEHOLD,830,Thursday,2,2014,,,,
2014-10-07,CA_2,CA,HOUSEHOLD,580,Tuesday,10,2014,,,,
2014-12-02,CA_2,CA,HOUSEHOLD,503,Tuesday,12,2014,,,,
2015-06-01,CA_2,CA,HOUSEHOLD,771,Monday,6,2015,,,,
2015-10-02,CA_2,CA,HOUSEHOLD,1104,Friday,10,2015,,,,
2015-12-07,CA_2,CA,HOUSEHOLD,837,Monday,12,2015,,,,
2016-02-02,CA_2,CA,HOUSEHOLD,808,Tuesday,2,2016,,,,
2011-07-06,CA_1,CA,HOBBIES,615,Wednesday,7,2011,,,,
2011-10-26,CA_1,CA,HOBBIES,297,Wednesday,10,2011,,,,
2011-12-11,CA_1,CA,HOBBIES,438,Sunday,12,2011,,,,
2011-12-30,CA_1,CA,HOBBIES,711,Friday,12,2011,,,,
2012-04-26,CA_1,CA,HOBBIES,313,Thursday,4,2012,,,,
2012-05-19,CA_1,CA,HOBBIES,320,Saturday,5,2012,,,,
2013-03-04,CA_1,CA,HOBBIES,377,Monday,3,2013,,,,
2013-07-27,CA_1,CA,HOBBIES,488,Saturday,7,2013,,,,
2014-12-12,CA_1,CA,HOBBIES,453,Friday,12,2014,,,,
2014-12-19,CA_1,CA,HOBBIES,476,Friday,12,2014,,,,
2015-07-07,CA_1,CA,HOBBIES,535,Tuesday,7,2015,,,,
2015-09-09,CA_1,CA,HOBBIES,493,Wednesday,9,2015,,,,
2015-10-25,CA_1,CA,HOBBIES,724,Sunday,10,2015,,,,
2015-11-27,CA_1,CA,HOBBIES,402,Friday,11,2015,,,,
2016-02-02,CA_1,CA,HOBBIES,429,Tuesday,2,2016,,,,
2011-02-07,CA_1,CA,HOUSEHOLD,327,Monday,2,2011,,,,
2011-04-03,CA_1,CA,HOUSEHOLD,656,Sunday,4,2011,,,,
2011-04-07,CA_1,CA,HOUSEHOLD,387,Thursday,4,2011,,,,
2011-08-24,CA_1,CA,HOUSEHOLD,397,Wednesday,8,2011,,,,
2011-09-17,CA_1,CA,HOUSEHOLD,649,Saturday,9,2011,,,,
2012-03-25,CA_1,CA,HOUSEHOLD,840,Sunday,3,2012,,,,
2012-04-17,CA_1,CA,HOUSEHOLD,380,Tuesday,4,2012,,,,
2012-04-22,CA_1,CA,HOUSEHOLD,747,Sunday,4,2012,,,,
2012-09-06,CA_1,CA,HOUSEHOLD,624,Thursday,9,2012,,,,
2012-12-13,CA_1,CA,HOUSEHOLD,504,Thursday,12,2012,,,,
2013-09-06,CA_1,CA,HOUSEHOLD,775,Friday,9,2013,,,,
2013-11-06,CA_1,CA,HOUSEHOLD,608,Wednesday,11,2013,,,,
2014-01-01,CA_1,CA,HOUSEHOLD,463,Wednesday,1,2014,NewYear,National,,
2014-08-09,CA_1,CA,HOUSEHOLD,1168,Saturday,8,2014,,,,
2014-12-27,CA_1,CA,HOUSEHOLD,955,Saturday,12,2014,,,,
2015-01-29,CA_1,CA,HOUSEHOLD,642,Thursday,1,2015,,,,
2015-04-29,CA_1,CA,HOUSEHOLD,704,Wednesday,4,2015,,,,
2015-06-29,CA_1,CA,HOUSEHOLD,935,Monday,6,2015,,,,
2015-08-10,CA_1,CA,HOUSEHOLD,1093,Monday,8,2015,,,,
2015-10-04,CA_1,CA,HOUSEHOLD,1366,Sunday,10,2015,,,,
2015-10-27,CA_1,CA,HOUSEHOLD,772,Tuesday,10,2015,,,,
2015-10-30,CA_1,CA,HOUSEHOLD,1025,Friday,10,2015,,,,
2015-11-05,CA_1,CA,HOUSEHOLD,812,Thursday,11,2015,,,,
2011-04-11,CA_1,CA,FOODS,2007,Monday,4,2011,,,,
2011-07-07,CA_1,CA,FOODS,2403,Thursday,7,2011,,,,
2011-07-10,CA_1,CA,FOODS,3066,Sunday,7,2011,,,,
2011-11-27,CA_1,CA,FOODS,2494,Sunday,11,2011,,,,
2012-02-02,CA_1,CA,FOODS,2502,Thursday,2,2012,,,,
2012-02-17,CA_1,CA,FOODS,2420,Friday,2,2012,,,,
2012-05-02,CA_1,CA,FOODS,2588,Wednesday,5,2012,,,,
2012-09-29,CA_1,CA,FOODS,3543,Saturday,9,2012,,,,
2012-10-22,CA_1,CA,FOODS,2182,Monday,10,2012,,,,
2013-08-12,CA_1,CA,FOODS,3392,Monday,8,2013,,,,
2013-12-15,CA_1,CA,FOODS,3651,Sunday,12,2013,,,,
2013-12-30,CA_1,CA,FOODS,3085,Monday,12,2013,,,,
2014-01-03,CA_1,CA,FOODS,3343,Friday,1,2014,,,,
2014-07-02,CA_1,CA,FOODS,2999,Wednesday,7,2014,,,,
2014-12-09,CA_1,CA,FOODS,2687,Tuesday,12,2014,,,,
2014-12-10,CA_1,CA,FOODS,3222,Wednesday,12,2014,,,,
2015-05-17,CA_1,CA,FOODS,3722,Sunday,5,2015,,,,
2016-02-19,CA_1,CA,FOODS,2795,Friday,2,2016,,,,
2011-08-06,CA_2,CA,HOBBIES,504,Saturday,8,2011,,,,
2011-08-12,CA_2,CA,HOBBIES,335,Friday,8,2011,,,,
2011-09-02,CA_2,CA,HOBBIES,238,Friday,9,2011,,,,
2012-07-22,CA_2,CA,HOBBIES,337,Sunday,7,2012,,,,
2013-06-22,CA_2,CA,HOBBIES,513,Saturday,6,2013,,,,
2013-06-29,CA_2,CA,HOBBIES,471,Saturday,6,2013,,,,
2013-08-24,CA_2,CA,HOBBIES,517,Saturday,8,2013,,,,
2013-10-09,CA_2,CA,HOBBIES,265,Wednesday,10,2013,,,,
2013-12-12,CA_2,CA,HOBBIES,381,Thursday,12,2013,,,,
2014-01-21,CA_2,CA,HOBBIES,255,Tuesday,1,2014,,,,
2015-01-13,CA_2,CA,HOBBIES,289,Tuesday,1,2015,,,,
2015-02-22,CA_2,CA,HOBBIES,395,Sunday,2,2015,,,,
2015-04-25,CA_2,CA,HOBBIES,407,Saturday,4,2015,,,,
2015-04-30,CA_2,CA,HOBBIES,313,Thursday,4,2015,,,,
2015-09-18,CA_2,CA,HOBBIES,378,Friday,9,2015,,,,
2016-04-06,CA_2,CA,HOBBIES,430,Wednesday,4,2016,,,,
2016-04-08,CA_2,CA,HOBBIES,398,Friday,4,2016,,,,
2011-09-20,CA_2,CA,HOUSEHOLD,554,Tuesday,9,2011,,,,
2011-11-13,CA_2,CA,HOUSEHOLD,886,Sunday,11,2011,,,,
2012-01-22,CA_2,CA,HOUSEHOLD,702,Sunday,1,2012,,,,
2012-02-04,CA_2,CA,HOUSEHOLD,996,Saturday,2,2012,,,,
2012-03-16,CA_2,CA,HOUSEHOLD,594,Friday,3,2012,,,,
2012-06-03,CA_2,CA,HOUSEHOLD,1066,Sunday,6,2012,,,,
2012-07-14,CA_2,CA,HOUSEHOLD,1212,Saturday,7,2012,,,,
2012-12-26,CA_2,CA,HOUSEHOLD,840,Wednesday,12,2012,,,,
2013-04-14,CA_2,CA,HOUSEHOLD,1158,Sunday,4,2013,,,,
2013-07-22,CA_2,CA,HOUSEHOLD,755,Monday,7,2013,,,,
2013-12-17,CA_2,CA,HOUSEHOLD,594,Tuesday,12,2013,,,,
2013-12-20,CA_2,CA,HOUSEHOLD,783,Friday,12,2013,,,,
2014-03-09,CA_2,CA,HOUSEHOLD,1242,Sunday,3,2014,,,,
2014-09-11,CA_2,CA,HOUSEHOLD,628,Thursday,9,2014,,,,
2014-12-21,CA_2,CA,HOUSEHOLD,1015,Sunday,12,2014,,,,
2015-01-01,CA_2,CA,HOUSEHOLD,638,Thursday,1,2015,NewYear,National,,
2015-01-02,CA_2,CA,HOUSEHOLD,857,Friday,1,2015,,,,
2015-03-14,CA_2,CA,HOUSEHOLD,1253,Saturday,3,2015,,,,
2015-05-09,CA_2,CA,HOUSEHOLD,1103,Saturday,5,2015,,,,
2015-05-25,CA_2,CA,HOUSEHOLD,1062,Monday,5,2015,MemorialDay,National,,
2015-06-18,CA_2,CA,HOUSEHOLD,820,Thursday,6,2015,Ramadan starts,Religious,,
2015-09-10,CA_2,CA,HOUSEHOLD,770,Thursday,9,2015,,,,
2015-12-09,CA_2,CA,HOUSEHOLD,769,Wednesday,12,2015,,,,
2011-02-20,CA_1,CA,HOBBIES,501,Sunday,2,2011,,,,
2011-07-15,CA_1,CA,HOBBIES,418,Friday,7,2011,,,,
2011-09-08,CA_1,CA,HOBBIES,398,Thursday,9,2011,,,,
2011-10-21,CA_1,CA,HOBBIES,504,Friday,10,2011,,,,
2011-11-11,CA_1,CA,HOBBIES,372,Friday,11,2011,VeteransDay,National,,
2012-04-11,CA_1,CA,HOBBIES,364,Wednesday,4,2012,,,,
2012-05-10,CA_1,CA,HOBBIES,345,Thursday,5,2012,,,,
2012-07-01,CA_1,CA,HOBBIES,402,Sunday,7,2012,,,,
2012-08-02,CA_1,CA,HOBBIES,450,Thursday,8,2012,,,,
2013-01-12,CA_1,CA,HOBBIES,349,Saturday,1,2013,,,,
2013-03-14,CA_1,CA,HOBBIES,434,Thursday,3,2013,,,,
2013-04-23,CA_1,CA,HOBBIES,512,Tuesday,4,2013,,,,
2013-06-02,CA_1,CA,HOBBIES,705,Sunday,6,2013,,,,
2013-07-15,CA_1,CA,HOBBIES,409,Monday,7,2013,,,,
2013-08-08,CA_1,CA,HOBBIES,404,Thursday,8,2013,Eid al-Fitr,Religious,,
2013-10-13,CA_1,CA,HOBBIES,585,Sunday,10,2013,,,,
2014-05-03,CA_1,CA,HOBBIES,590,Saturday,5,2014,,,,
2014-08-28,CA_1,CA,HOBBIES,424,Thursday,8,2014,,,,
2014-09-09,CA_1,CA,HOBBIES,486,Tuesday,9,2014,,,,
2011-02-19,CA_1,CA,HOUSEHOLD,612,Saturday,2,2011,,,,
2011-02-23,CA_1,CA,HOUSEHOLD,351,Wednesday,2,2011,,,,
2011-12-02,CA_1,CA,HOUSEHOLD,535,Friday,12,2011,,,,
2012-01-08,CA_1,CA,HOUSEHOLD,698,Sunday,1,2012,,,,
2012-04-18,CA_1,CA,HOUSEHOLD,448,Wednesday,4,2012,,,,
2012-08-30,CA_1,CA,HOUSEHOLD,525,Thursday,8,2012,,,,
2012-11-20,CA_1,CA,HOUSEHOLD,570,Tuesday,11,2012,,,,
2013-04-02,CA_1,CA,HOUSEHOLD,679,Tuesday,4,2013,Pesach End,Religious,,
2013-10-11,CA_1,CA,HOUSEHOLD,721,Friday,10,2013,,,,
2013-11-05,CA_1,CA,HOUSEHOLD,611,Tuesday,11,2013,,,,
2013-12-12,CA_1,CA,HOUSEHOLD,520,Thursday,12,2013,,,,
2014-06-21,CA_1,CA,HOUSEHOLD,1087,Saturday,6,2014,,,,
2014-06-28,CA_1,CA,HOUSEHOLD,1056,Saturday,6,2014,,,,
2015-02-14,CA_1,CA,HOUSEHOLD,936,Saturday,2,2015,ValentinesDay,Cultural,,
2015-07-24,CA_1,CA,HOUSEHOLD,1001,Friday,7,2015,,,,
2016-02-08,CA_1,CA,HOUSEHOLD,949,Monday,2,2016,,,,
2011-03-20,CA_1,CA,FOODS,2795,Sunday,3,2011,Purim End,Religious,,
2011-05-11,CA_1,CA,FOODS,1797,Wednesday,5,2011,,,,
2011-06-23,CA_1,CA,FOODS,1806,Thursday,6,2011,,,,
2012-01-10,CA_1,CA,FOODS,2354,Tuesday,1,2012,,,,
2012-01-23,CA_1,CA,FOODS,1969,Monday,1,2012,,,,
2012-06-24,CA_1,CA,FOODS,3962,Sunday,6,2012,,,,
2013-05-16,CA_1,CA,FOODS,2549,Thursday,5,2013,,,,
2013-06-16,CA_1,CA,FOODS,3373,Sunday,6,2013,Father's day,Cultural,,
2013-07-03,CA_1,CA,FOODS,3874,Wednesday,7,2013,,,,
2014-04-14,CA_1,CA,FOODS,2828,Monday,4,2014,,,,
2014-06-30,CA_1,CA,FOODS,2831,Monday,6,2014,,,,
2014-10-12,CA_1,CA,FOODS,4194,Sunday,10,2014,,,,
2015-04-30,CA_1,CA,FOODS,2320,Thursday,4,2015,,,,
2015-06-25,CA_1,CA,FOODS,2653,Thursday,6,2015,,,,
2015-07-09,CA_1,CA,FOODS,2804,Thursday,7,2015,,,,
2015-08-18,CA_1,CA,FOODS,2404,Tuesday,8,2015,,,,
2011-01-29,CA_2,CA,HOBBIES,538,Saturday,1,2011,,,,
2012-03-09,CA_2,CA,HOBBIES,308,Friday,3,2012,,,,
2012-12-13,CA_2,CA,HOBBIES,201,Thursday,12,2012,,,,
2013-01-11,CA_2,CA,HOBBIES,273,Friday,1,2013,,,,
2013-09-29,CA_2,CA,HOBBIES,391,Sunday,9,2013,,,,
2013-10-17,CA_2,CA,HOBBIES,342,Thursday,10,2013,,,,
2014-02-24,CA_2,CA,HOBBIES,358,Monday,2,2014,,,,
2014-05-23,CA_2,CA,HOBBIES,342,Friday,5,2014,,,,
2014-08-23,CA_2,CA,HOBBIES,330,Saturday,8,2014,,,,
2014-11-09,CA_2,CA,HOBBIES,360,Sunday,11,2014,,,,
2014-12-20,CA_2,CA,HOBBIES,452,Saturday,12,2014,,,,
2015-07-19,CA_2,CA,HOBBIES,526,Sunday,7,2015,,,,
2015-07-23,CA_2,CA,HOBBIES,376,Thursday,7,2015,,,,
2015-08-28,CA_2,CA,HOBBIES,315,Friday,8,2015,,,,
2015-12-01,CA_2,CA,HOBBIES,436,Tuesday,12,2015,,,,
2016-02-06,CA_2,CA,HOBBIES,573,Saturday,2,2016,,,,
2011-06-16,CA_2,CA,HOUSEHOLD,509,Thursday,6,2011,,,,
2011-06-27,CA_2,CA,HOUSEHOLD,516,Monday,6,2011,,,,
2011-09-19,CA_2,CA,HOUSEHOLD,503,Monday,9,2011,,,,
2011-10-05,CA_2,CA,HOUSEHOLD,513,Wednesday,10,2011,,,,
2012-01-30,CA_2,CA,HOUSEHOLD,454,Monday,1,2012,,,,
2012-07-07,CA_2,CA,HOUSEHOLD,1153,Saturday,7,2012,,,,
2012-08-22,CA_2,CA,HOUSEHOLD,847,Wednesday,8,2012,,,,
2012-12-02,CA_2,CA,HOUSEHOLD,1019,Sunday,12,2012,,,,
2013-07-18,CA_2,CA,HOUSEHOLD,799,Thursday,7,2013,,,,
2013-07-21,CA_2,CA,HOUSEHOLD,1289,Sunday,7,2013,,,,
2014-01-20,CA_2,CA,HOUSEHOLD,1025,Monday,1,2014,MartinLutherKingDay,National,,
2014-01-31,CA_2,CA,HOUSEHOLD,804,Friday,1,2014,,,,
2014-03-11,CA_2,CA,HOUSEHOLD,752,Tuesday,3,2014,,,,
2014-04-28,CA_2,CA,HOUSEHOLD,603,Monday,4,2014,,,,
2014-09-06,CA_2,CA,HOUSEHOLD,920,Saturday,9,2014,,,,
2014-10-29,CA_2,CA,HOUSEHOLD,545,Wednesday,10,2014,,,,
